Union,ইউনিয়ন
Kuliar Char Paurashava,কুলিয়ার চর পৌরসভা
Kulkandi,কুলকান্দি
Kulkati,কুলকাটি
Kulla,কুল্লা
Kullagora,কুল্লাগোরা
Kultia,কুলটিয়া
Kumar Para,কুমার পাড়া
Kumarbhog,কুমারভোগ
Kumarghata,কুমারঘাটা
Kumari,কুমারী
Kumarkhali Paurashava,কুমারখালী পৌরসভা
Kumedpur,কুমেদপুর
Kumira,কুমিরা
Kumrabaria,কুমারাবাড়িয়া
Kunda,কুন্ডা
Kunda Pukur,কুণ্ড পুকুর
Kundagram,কুন্ডগ্রাম
Kunder Char,কুন্দের চর
Kunia,কুনিয়া
Kuptala,কুপতলা
Kuralgachhi,কুরালগাছি
Kurar Bazar,কুরার বাজার
Kurikahania,কুড়িকাহানিয়া
Kursha,কুরশা
Kurshi,কুড়শি
Kusanghal,কুসাংঘল
Kusha Raniganj,কুশা রাণীগঞ্জ
Kushadanga,কুশডাঙ্গা
Kushakhali,কুষাখালী
Kushdaha,কুশদহ
Kushiram Belpukur,কুশিরাম বেলপুকুর
Kushla,কুশলা
Kushli,কুশলি
Kushlia,কুশলিয়া
Kushmail,কুশমাইল
Kushna,কুশনা
Kushtia,কুষ্টিয়া
Kushtia Paurashava,কুষ্টিয়া পৌরসভা
Kushumhati,কুসুমহাটি
Kushura,কুশুরা
Kuskhali,কুসখালী
Kusumba,কুসুম্বা
Kusumbi,কুসুম্বি
Kusumpura,কুসামপুরা
Kutba,কুতবা
Kuti,কুটি
Kutubjom,কুতুবজম
Kutubpur,কুতুবপুর
Kutuk Chhari,কুতুক ছড়ি
Kytola,কৈটোলা
Labsa,লাবসা
Laharkandi,লাহারকান্দি
Lahiri Para,লাহিড়ি পাড়া
Lahuria,লাহুরিয়া
Lakhai,লাখাই
Lakher Para,লাখের পাড়া
Lakhpur,লক্ষপুর
Lakhyarchar,লখ্যারচর
Laksam,লাকসাম
Laksam Paurashava,লাকসাম পৌরসভা
Lakshanaband,লক্ষনাবাঁদ
Lakshmanpur,লক্ষ্মণপুর
Lakshmansree,লক্ষ্মনশ্রী
Lakshmi Chap,লক্ষ্মী ছাপ
Lakshmi Pasha,লক্ষ্মী পাশা
Lakshmichhari,লক্ষ্মীছড়ি
Lakshmiganj,লক্ষ্মীগঞ্জ
Lakshmikundi,লক্ষ্মীকুন্ডি
Lakshmipasha,লক্ষ্মিপাশা
Lakshmipur,লক্ষ্মীপুর
Lakshmipur Kholabaria,লক্ষ্মীপুর খোলাবাড়িয়া
Lakshmipur Paurashava,লক্ষ্মীপুর পৌরসভা
Lakshmir Char,লক্ষ্মীর চর
Lakshmitari,লক্ষ্মীতরী
Lal Pur,লাল পুর
Lala Bazar,লালা বাজার
Lalanagar,লালানগর
Lalmohan,লালমোহন
Lalore,লালোর
Lalpur,লালপুর
Lalua,লালুয়া
Lama,লামা
Lama Kazi,লামা কাজী
Lama Paurashava,লামা পৌরসভা
Lamatashi,লামাতাশি
Lamchar,লামচড়
Langadu,লাংগদু
Langair,লাংগাইর
Laskar,লস্কর
Laskardia,লস্করদিয়া
Laskarpur,লসকরপুর
Lata,লতা
Lata Chapli,লতা চাপলি
Latabdi,লতাবদি
Latibabad,লতিবাবাদ
Latiban,লাতিবান
Latifpur,লতিফপুর
Laudubi,লাউডুবি
Lauhati,লাউহাটি
Laukati,লাউকাঠি
Laur Fatehpur,লাউড় ফতেহপুর
Lauta,লাউটা
Lebukhali,লেবুখালী
Lebutala,লেবুতলা
Lehemba,লেহেমবা
Lelang,লেলাং
Lemsikhali,লেমসিখালি
Lemua,লেমুয়া
Lengura,লেঙ্গুড়া
Lesraganj,লেসরাগঞ্জ
Logang,লোগাং
Lohagara,লোহাগড়া
Lohagara Paurashava,লোহাগড়া পৌরসভা
Lohajang Teotia,লোহজং তেওতিয়া
Lohajuri,লোহাজুরি
Lohalia,লোহালিয়া
Lohani Para,লোহানী পাড়া
Loneshwar,লোনেশ্বর
Lord Hardinje,লর্ড হার্ডিংজ
Lukhra,লুখরা
Luter Char,লুটের চর
M.Baliatali,এম.বালিয়াতলি
Machh Para,মাছ পাড়া
Machhihata,মাছিহাটা
Madan,মদন
Madan Paurashava,মদন পৌরসভা
Madankhali,মদনখালী
Madanpur,মদনপুর
Madanpura,মদনপুরা
Madapur,মাদাপুর
Madarbunia,মাদারবুনিয়া
Madarganj Paurashava,মাদারগঞ্জ পৌরসভা
Madaripur Paurashava,মাদারীপুর পৌরসভা
Madarsa,মাদারসা
Madati,মাদাতি
Madhab Pasha,মাধব পাশা
Madhabdi Paurashava,মাধবদি পৌরসভা
Madhabkhali,মাধাবখালি
Madhabpur,মাধবপুর
Madhabpur Paurashava,মাধবপুর পৌরসভা
Madhainagar,মাধাইনগর
Madhnagar,মাধনগর
Madhuhati,মধুহাটি
Madhukhali,মাধুখলি
Madhupur,মধুপুর
Madhupur Paurashava,মধুপুর পৌরসভা
Madhya (mechachal Union),মধ্য (মেকাচাল ইউনিয়ন)
Madhyanagar,মধ্যনগর
Madhyapara,মধ্যপাড়া
Madla,মদলা
Magar,মাগার
Magban,মগবান
Magdhara,মাঘাড়া
Maghadia,মঘাদিয়া
Maghan,মঘান
Maghan Siadhar,মাঘান সিয়াধর
Maghi,মাঘী
Maghia,মাঘিয়া
Magnama,মগনামা
Magra,মাগরা
Magtala,মগতলা
Magura,মাগুরা
Magura Binod,মাগুরা বিনোদ
Magura Paurashava,মাগুরা পৌরসভা
Maguraghona,মাগুড়াঘোনা
Magurkhali,মাগুরখালি
Mahadan,মহাদান
Mahadebpur,মহাদেবপুর
Mahajanpur,মহাজনপুর
Mahakali,মহাকালি
Mahalchhari,মহলছড়ি
Mahamudnagar,মাহামুদনগর
Maharajpur,মহারাজপুর
Mahendranagar,মহেন্দ্রনগর
Mahera,মাহেরা
Maheshkhali Paurashava,মহেশখালী পৌরসভা
Maheshpur,মহেশপুর
Maheshpur Paurashava,মহেশপুর পৌরসভা
Maheshwaripur,মহেশ্বরীপুর
Mahichal,মহিচল
Mahilara,মাহিলাড়া
Mahimaganj,মহিমাগঞ্জ
Mahinanda,মহিনন্দ
Mahisar,মহিষার
Mahishaban,মহিষাবান
Mahishasura,মহিষাসুরা
Mahishkhocha,মহিষখোচা
Mahmudpur,মাহমুদপুর
Maidan Dighi,ময়দান দিঘি
Maidang,মৈদং
Maidanhata,ময়দানহাটা
Maij Char,মাইজ চর
Maij Khapan,মাইজ খাপান
Maij Para Union,মাইজ পাড়া ইউনিয়ন
Maijbagh,মাইজবাগ
Maijbari,মাইজবাড়ি
Maijgaon,মাইজগাঁও
Maijkhara,মাইজখাড়া
Mailakanda,মাইলাকান্দা
Mainamati,ময়নামতি
Mainani,মইনানি
Maisatua,মাইসাতুয়া
Maishadi,মাইশাদি
Maitbhanga,মাইতভাঙ্গা
Majchar,মাঝচর
Majgaon,মাজগাঁও
Majh Para,মাঝ পাড়া
Majhardia,মাঝহরদিয়া
Majhbari,মাঝবাড়ি
Majhigati,মাঝিগতী
Majhihatta,মাঝিহাটা
Majhira,মাঝিরা
Majidbari,মাজিদবাড়ি
Majidpur,মাজিদপুর
Majlishpur,মজলিশপুর
Makrampur,মাকরামপুর
Malancha,মালাঞ্চা
Malanchi,মালঞ্চি
Malapara,মালাপাড়া
Maliat,মালিয়াত
Malibari,মালিবাড়ি
Maligachha,মালিগাছা
Malihad,মালিহাদ
Malijhikanda,মালিঝিকান্দা
Malikhali,মালিখালি
Malkhanagar,মালখানগর
Mallikbari,মল্লিকবাড়ি
Malliker Ber,মল্লিকের বেড়
Mallikpur,মল্লিকপুর
Mamudnagar,মামুদনগর
Mamudpur,মামুদপুর
Manakosa,মানাকোসা
Manda,মান্ডা
Mandari,মান্দারী
Manderbari,মান্দারবাড়ী
Mangalkandi,মঙ্গলকান্দি
Mangalkot,মাঙ্গলকোট
Mangalpur,মঙ্গলপুর
Maniand,মানিয়ান্দ
Maniari,মানিয়ারি
Manigram,মণিগ্রাম
Manikchhari,মানিকছড়ি
Manikdaha,মানিকদহ
Maniker Char,মানিকের চর
Manikganj Paurashava,মানিকগঞ্জ পৌরসভা
Manikhat,মানিখাট
Manikpur,মানিকপুর
Manirampur,মনিরামপুর
Manirampur Paurashava,মনিরামপুর পৌরসভা
Mankon,মানকন
Manmathapur,মনমথপুর
Mannargaon,মান্নারগাঁও
Manohardi Paurashava,মনোহরদি পৌরসভা
Manohardia,মনোহরদিয়া
Manoharpur,মনোহরপুর
Manpura,মনপুরা
Mansur Nagar,মনসুর নগর
Mansurnagar,মনসুরনগর
Manumukh,মনুমুখ
Maoha,মাওহা
Maona,মাওনা
Marania,মারানিয়া
Marea Bamanhat,মারিয়া বামনহাট
Maria,মারিয়া
Mariamnagar,মারিয়ামনগর
Maricha,মারিচা
Marichbunia,মারিচবুনিয়া
Marichpura,মারিচপুরা
Marishya,মারিশ্যা
Marjal,মারজাল
Maruka,মারুকা
Maschhari,মাসছড়ি
Mashakhali,মশাখালি
Mashka,মাশকা
Masidpur,মাসিদপুর
Masimpur,মাসিমপুর
Masua,মাসুয়া
Masundia,মাসুন্দিয়া
Maswimnagar,মশ্বিমনগর
Matabi,মাতাবি
Matarbari,মাতারবারি
Matbarer Char,মাতবড়ের চর
Mathabanga,মাথাভাংগা
Mathbari,মাথবাড়ি
Mathbaria,মাঠবাড়িয়া
Mathiura,মাথিউড়া
Mathu Bhuiyan,মথু ভূইয়া
Mathurapur,মাথুরাপুর
Mathureshpur,মথুরেশপুর
Matibhanga,মাটিভাঙ্গা
Matiganj,মতিগঞ্জ
Matikata,মাটিকাটা
Matindhar,মতিন্ধার
Matiranga,মাটিরাঙ্গা
Matiranga Paurashava,মাটিরাঙ্গা পৌরসভা
Matlab Paurashava,মতলব পৌরসভা
Matmura,মটমুরা
Matrai,মাতরাই
Matuail (part),মাতুয়াইল (অংশ)
Maugachhi,মউগাছি
Maugati,মৌগাতি
Mauli,মাউলি
Maulvibazar Paurashava,মৌলভীবাজার পৌরসভা
Maurat,মাউরাট
Mautala,মাউতলা
Mayani,মায়ানী
Mayanimukh,মায়ানীমুখ
Mayenpur,মায়েনপুর
Mazampur,মাজামপুর
Mechhra,মেছড়া
Medini Mandal,মেদিনী মন্ডল
Medni,মেদনি
Medua,মেদুয়া
Meduary,মেদুয়ারি
Megchami,মেগচামি
Mehari,মেহারি
Mehendiganj,মেহেন্দিগঞ্জ
Meher Para,মেহের পাড়া
Meherpur Paurashava,মেহেরপুর পৌরসভা
Mekhal,মেখাল
Melandaha Paurashava,মেলান্দহ পৌরসভা
Memania,মেমানিয়া
Mendipur,মেন্দিপুর
Merung,মেরুং
Merur Char,মেরুর চর
Meshta,মেশতা
Milanpur,মিলনপুর
Mir Warishpur,মীর ওয়ারিশপুর
Mirahi,মিরাহী
Mirat,মিরাট
Mirganj,মীরগঞ্জ
Mirkadim Paurashava,মীরকাদিম পৌরসভা
Mirpur,মিরপুর
Mirpur Paurashava,মিরপুর পৌরসভা
Mirsharai,মিরসরাই
Mirsharai Paurashava,মিরসরাই পৌরসভা
Mirukhali,মিরুখালি
Mirzabari,মির্জাবাড়ি
Mirzaganj,মির্জাগঞ্জ
Mirzanagar,মির্জানগর
Mirzapur,মির্জাপুর
Mirzapur Paurashava,মির্জাপুর পৌরসভা
Mirzar Char,মির্জার চর
Mithaganj,মিঠাগঞ্জ
Mithakhali,মিঠাখালি
Mithamain,মিঠামাইন
Mithanala,মিঠানালা
Mithapur,মিঠাপুর
Mizanpur,মিজানপুর
Moazzempur,মোয়াজ্জেমপুর
Mobarakpur,মোবারকপুর
Mochna,মোচনা
Mogalbachha,মোগলবাছা
Mogalgaon,মোগলগাঁও
Mogalhat,মোগলহাট
Mogla Bazar,মোগলা বাজার
Mogra,মোগরা
Mohadebpur,মহাদেবপুর
Mohadipur,মোহাদীপুর
Mohamadpur,মোহাম্মদপুর
Mohamaya,মোহনমায়া
Mohammadabad,মোহাম্মদাবাদ
Mohammadpur,মোহাম্মদপুর
Mohammadpur Paschim,মোহাম্মদপুর পশ্চিম
Mohammadpur Purba,মোহাম্মদপুর পূর্ব
Mohan Pur,মোহনপুর
Mohanganj,মোহনগঞ্জ
Mohanganj Paurashava,মোহনগঞ্জ পৌরসভা
Mohanpur,মোহনপুর
Moharajpur,মহারাজপুর
Mokam,মোকাম
Mokamia,মোকামিয়া
Mokamtala,মোকামতলা
Mokara,মোকারা
Mokarimpur,মোকরিমপুর
Mokhna,মোখনা
Mokrabpur,মোকরাবপুর
Mokshapur,মোক্ষাপুর
Moktarpur,মোক্তারপুর
Mollah Para,মোল্লা পাড়া
Mollahat,মোল্লাহাট
Mollahkandi,মোল্লাহকান্দি
Mollahpur,মোল্লাপুর
Mollar Char,মুল্লার চর
Mollargaon,মোল্লারগাঁও
Mominpur,মোমিনপুর
Monakhali,মনাখালী
Mongla Port Paurashava,মংলা বন্দর পৌরসভা
Morrelganj,মোরেলগঞ্জ
Morrelganj Paurashava,মোরেলগঞ্জ পৌরসভা
Moshinda,মোশিন্দা
Mostafapur,মোস্তফাপুর
Mothurapur,মথুরাপুর
Mouchak,মৌচাক
Moyna,ময়না
Mriga,মৃগা
Mrigi,মৃগী
Mubachhari,মুবাছড়ি
Mudafarganj,মুদাফরগঞ্জ
Mugra Para,মুগড়া পাড়া
Mujib Nagar,মুজিব নগর
Muksudpur,মুকসুদপুর
Muksudpur Paurashava,মুকসুদপুর পৌরসভা
Muktagachha Paurashava,মুক্তাগাছা পৌরসভা
Muktanagar,মুক্তানগর
Muktarer Char,মুকতারের চর
Mukundapur,মুকুন্দপুর
Muladi,মুলাদি
Muladuli,মুলাদুলি
Mulghar,মুলঘর
Mulgram,মুলগ্রাম
Mulia,মুলিয়া
Mulna,মুলনা
Mumurdia,মুমুরদিয়া
Mundumala Paurashava,মুন্ডুমালা পৌরসভা
Munotosh,মুনোতোষ
Munshi Bazar,মুন্সী বাজার
Munshiganj,মুনশিগঞ্জ
Munshiganj Paurashava,মুন্সীগঞ্জ পৌরসভা
Munshirhat,মুনশিরহাট
Mura Para,মুড়া পাড়া
Muradia,মুরাদিয়া
Muradnagar,মুরাদনগর
Muradpur,মুরাদপুর
Murakari,মুরাকাড়ি
Muria,মুরিয়া
Muriauk,মুরিয়াউক
Musapur,মুসাপুর
Mushidhat,মুর্শিদহাট
Mustafapur,মুস্তফাপুর
Musuddi,মুসুদ্দি
Musuli,মুসুলি
Muzaffarpur,মুজাফ্ফরপুর
Mymensingh Paurashava,ময়মনসিংহ পৌরসভা
Nabagram,নবগ্রাম
Nabharan,নাভারণ
Nabiganj,নবীগঞ্জ
Nabiganj Paurashava,নবীগঞ্জ পৌরসভা
Nabinagar Paurashava,নবীনগর পৌরসভা
Nabipur,নবপুর
Nachan Mohal,নাচান মহল
Nachna Para,নাচনা পাড়া
Nachole,নাচোল
Nachole Paurashava,নাচোল পৌরসভা
Nadana,নদনা
Nafanagar,নাফানগর
Nagar,নগর
Nagarghata,নগরঘাটা
Nagari,নগরী
Nagarkanda Paurashava,নগরকান্দা পৌরসভা
Nagarpur,নগরপুর
Nagbari,নাগবাড়ি
Nagda Simla,নাগদা শিমলা
Nagdaha,নাগদহ
Nagdemra,নাগডেমরা
Nager Para,নাগের পাড়া
Nahata,নাহাটা
Naihati,নাইহাটি
Naikhongchhari,নাইখংছরি
Nakai,নাকাই
Nakla,নাকলা
Nakla Paurashava,নাকলা পৌরসভা
Nakol,নাকোল
Nalchira,নলচিরা
Naldanga,নলডাঙ্গা
Naldanga Paurashava,নলডাঙ্গা পৌরসভা
Naldha Maubhog,নলধা মাউভোগ
Naldi,নলদি
Nali,নালি
Nalian Range,নলিয়ান রেঞ্জ
Nalitabari,নালিতাবাড়ী
Nalitabari Paurashava,নলিতাবাড়ি পৌরসভা
Nalka,নলকা
Nalkura,নলকুড়া
Nalmuri,নলমুড়ি
Nalta,নলতা
Naltona,নলটোনা
Nalua,নালুয়া
Namuja,নামুজা
Nandail,নন্দাইল
Nandail Paurashava,নন্দাইল পৌরসভা
Nandalalpur,নন্দলালপুর
Nandanpur,নন্দনপুর
Nandigram,নন্দিগ্রাম
Nandigram Paurashava,নন্দিগ্রাম পৌরসভা
Nandirgaon,নন্দিরগাঁও
Nangalkot,নাঙ্গলকোট
Nangalkot Paurashava,নাঙ্গলকোট পৌরসভা
Nangalmora,নাংলমোড়া
Nangalthara,নাঙ্গালথড়া
Nangla,নাংলা
Naniarchar,নানিয়ারছড়ি
Nanikshir,ননিক্ষীর
Nannar,নান্নার
Nanupur,নানুপুর
Naodanga,নাওডাঙ্গা
Naodoba,নাওডোবা
Naogaon,নওগাঁও
Naogaon Paurashava,নওগাঁ পৌরসভা
Naotara,নাওতাড়া
Narahatta,নরহাট্টা
Narail,নরাইল
Narail Paurashava,নড়াইল পৌরসভা
Narandi,নারান্দি
Narandia,নারান্দিয়া
Narayandia,নারায়ণদিয়া
Narayanganj Paurashava,নারায়ণগঞ্জ পৌরসভা
Narayanhat,নারায়ণহাট
Narayanpur,নারায়ণপুর
Narchi,নারচি
Nardas,নরদাস
Narendrapur,নরেন্দ্রপুর
Nargun,নরগুন
Naria Paurashava,নড়িয়া পৌরসভা
Narikelbaria,নারিকেলবাড়িয়া
Narisha,নারিশা
Narnia,নার্নিয়া
Narottampur,নরোত্তমপুর
Narsing Pur,নরসিংপুর
Narsingdi Paurashava,নরসিংদী পৌরসভা
Narua,নারুয়া
Naruamala,নারুয়ামালা
Narundi,নরুন্দি
Nasasan,নাসাসান
Nasipur,নশিপুর
Nasirabad,নাসিরাবাদ
Nasirnagar,নাসিরনগর
Nasratpur,নশরতপুর
Nateshwar,নাতেশ্বর
Natghar,নাটঘর
Nather Petua,নাথের পেটুয়া
Nathullabad,নাথুল্লাবাদ
Natima,নাটিমা
Natipota,নতিপোতা
Natore Paurashava,নাটোর পৌরসভা
Natuar Para,নাটুয়ার পাড়া
Nawabpur,নবাবপুর
Naya Naobhanga,নয়া নাওভাঙ্গা
Nayabari,নয়াবাড়ি
Nayabil,নায়াবিল
Nayakhola,নয়াখোলা
Nayanagar,নয়ননগর
Nayansree,নয়নশ্রী
Nayekpur,নায়েকপুর
Nayerhat,নায়েরহাট
Nazarpur,নজরপুর
Nazimkhan,নাজিমখান
Nazipur,নজিপুর
Nazirabad,নাজিরাবাদ
Nazirganj,নাজিরগঞ্জ
Nazirpur,নাজিরপুর
Nehalpur,নেহালপুর
Nekmarad,নেকমরদ
Nepa,নেপা
Nepaltali,নেপালতলী
Nesarabad (Swarupkati),নেসারাবাদ (স্বরূপকাঠি)
Netrokona Paurashava,নেত্রকোনা পৌরসভা
Newashi,নিউয়াসি
Nhilla,ন্হিল্লা
Niamati,নিয়ামতি
Niamatpur,নিয়ামতপুর
Niazpur,নিয়াজপুর
Nibaskhola,নিবাসখোলা
Nigair,নিগাইর
Nij Bahadurpur,নিজ বাহাদুরপুর
Nijamkandi,নিজামকান্দি
Nijpara,নিজপাড়া
Nijpat,নিজপত
Nikli,নিকলি
Nikrail,নিকরাইল
Nilakhi,নীলাখী
Nilakhya,নীলখ্যা
Nilakshmia,নীলাক্ষমিয়া
Nilganj,নীলগঞ্জ
Nilkamal,নীলকমল
Nimaichara,নিমাইচড়া
Nimgachhi,নিমগাছি
Nimpara,নিমপাড়া
Nirmail,নির্মাইল
Nishanbaria,নিশানবাড়ীয়া
Nishchintapur,নিশ্চিন্তপুর
Nishindara,নিশিন্দারা
Nitai,নিতাই
Nithpur,নিথপুর
Nityanandapur,নিত্যানন্দপুর
Nizampur,নিজামপুর
Nizra,নিজড়া
Noa Para,নোয়া পাড়া
Noabad,নোয়াবাদ
Noagaon,নওগাঁও
Noagram,নোয়াগ্রাম
Noahata Paurashava,নোয়াহাটা পৌরসভা
Noajispur,নোয়াজিসপুর
Noakhali,নোয়াখালী
Noakhali Paurashava,নোয়াখালী পৌরসভা
Noamala,নোয়ামালা
Noannai,নোয়ানাই
Noapara,নোয়াপাড়া
Noapara Paurashava,নোয়াপাড়া পৌরসভা
Noarai,নোয়ারাই
Noarpara,নোয়ারপাড়া
Nohali,নোহালী
Nonduar,নন্দুয়ার
Noongola,নুনগোলা
Noonkhawa,নুনখাওয়া
North Char Ababil,উত্তর চর আবাবিল
North Char Bangshi,উত্তর চার বাংশী
Nowa Patang,নোয়া পাতং
Nowdabash,নওদাবাশ
Nozipur Paurashava,নজিপুর পৌরসভা
Nudmulla,নুদমুল্লা
Nunni,নুন্নি
Nurabad,নুরাবাদ
Nuralla Pur U/C,নুরল্লা পুর ইউ/সি
Nurnagar,নূরনগর
Nurpur,নূরপুর
Nurullabad,নুরুল্লাবাদ
Nurullaganj,নুরুল্লাগঞ্জ
Nutan Bharenga,নতুন ভারেঙ্গা
Omar,ওমর
Omar Majid,ওমর মজিদ
Omarpur,ওমরপুর
Orakandi,ওরাকান্দি
Osmanganj,ওসমানগঞ্জ
Osmanpur,ওসমানপুর
Otra,অত্রা
Pabna Paurashava,পাবনা পৌরসভা
Pabnapur,পাবনাপুর
Pachandar,পাঁচন্দর
Pachim Hatila,পশ্চিম হাটিলা
Padma Pukur,পদ্মপুকুর
Padmabila,পদ্মাবিলা
Padmakar,পদ্মাকর
Padri Shibpur,পাদ্রী শিবপুর
Padua,পদুয়া
Padumsahar,পাদুমশহর
Paglakanai,পাগলাকানাই
Pahar Pur,পাহাড়পুর
Pahardanga,পাহাড়ডাঙ্গা
Pahariakandi,পাহাড়িয়াকান্দি
Paharpur,পাহাড়পুর
Pahartali,পাহাড়তলী
Paik Para,পাইকপাড়া
Paikar,পাইকার
Paikar Char,পাইকার চর
Paikara,পাইকাড়া
Paiker Chhara,পাইকের ছাড়া
Paikgachha Paurashava,পাইকগাছা পৌরসভা
Paikkandi,পাইক্কান্দি
Paikura,পাইকুড়া
Paikurati,পাইকুরাটি
Paila,পাইলা
Pailarkandi,পাইলারকান্দি
Pailgaon,পাইলগাঁও
Paindanga,পাইনডাঙ্গা
Paindu,পাইন্দু
Pairaband,পাইরাবন্দ
Paiska,পাইসকা
Paithal,পাইথাল
Paitkabari,পাইতকাবাড়ি
Pak Shimul,পাক শিমুল
Pakri,পাকড়ি
Pakshi,পাকশী
Pakshia,পাকশিয়া
Pakulla,পাকুল্লা
Pakundia,পাকুন্দিয়া
Pakundia Paurashava,পাকুন্দিয়া পৌরসভা
Pakuria,পাকুরিয়া
Pakutia,পাকুটিয়া
Palash,পলাশ
Palashbari,পলাশবাড়ি
Palashbaria,পলাশবাড়িয়া
Palashi,পলাশী
Palashtali,পলাশতলি
Palbandha,পালবান্ধা
Paler Char,পালের চর
Pali Prayagpur,পলি প্রয়াগপুর
Palong,পালং
Palong Khali,পালং খালি
Palsa,পালসা
Palsi,পালসি
Paltapur,পাল্টাপুর
Pamuli,পামুলি
Panch Char,পঞ্চ চর
Panch Pukur,পাঁচ পুকুর
Pancha Koralia,পচাকোড়ালিয়া
Pancha Krushi,পাঁচকৃষি
Panchagarh,পঞ্চগড়
Panchagram,পাঁচগ্রাম
Panchakaran,পঞ্চকরণ
Panchasar,পঞ্চসার
Panchbhag,পাঁচভাগ
Panchbibi Paurashava,পাঁচবিবি পৌরসভা
Panchdona,পাঁচদোনা
Panchgachha,পাঁচগাছা
Panchgachhiya,পাঁচগাছিয়া
Panchgaon,পঞ্চগাঁও
Panchhari,পাঁচছড়ি
Panchkhola,পাঁচখোলা
Panchpir,পাঁচপির
Panchthubi,পাঁচথুবি
Panchupur,পাঁচুপুর
Panchuria,পাঁচুরিয়া
Pandergaon,পান্ডেরগাঁও
Pandul,পান্ডুল
Panga Matukpur,পাংগা মটকপুর
Pangashi,পাংগাশি
Pangashia,পাংগাশিয়া
Pangsha Paurashava,পাংশা পৌরসভা
Panisara,পানিসাড়া
Paniunda,পানিউণ্ডা
Panjia,পানজিয়া
Panka,পাঁকা
Pankhali,পানখালি
Panpatty,পানপট্টি
Pantha Para,পান্থ পাড়া
Panti,পান্তি
Par Ramrampur,পার রামরামপুর
Paraikora,পরৈকোড়া
Parail,পারইল
Parameshwardi,পরমেশ্বরদী
Paranganj,পারানগঞ্জ
Paranpur,পরানপুর
Paratali,পরাতলি
Parbatinagar,পার্বতীনগর
Parbatipur,পার্বতীপুর
Parbhanguria,পারভাঙ্গুরিয়া
Parerhat,পারেরহাট
Paria,পাড়িয়া
Parila,পাড়াইলা
Parki,পারকী
Parkote,পারকোট
Parshadanga,পার্শ্বডাঙ্গা
Parshuram Paurashava,পরশুরাম পৌরশব
Parua,পারুয়া
Parul,পারুল
Parulia,পারুলিয়া
Pasargati,পাসারগতি
Paschim Baluthupa,পশ্চিম বালুথুপা
Paschim Bangara,পশ্চিম বাঙারা
Paschim Bara Bhakhair,পশ্চিম বড় ভাখাইর
Paschim Bara Bheola,পশ্চিম বড় ভেওলা
Paschim Barkul,পশ্চিম বড়কুল
Paschim Birgaon,পশ্চিম বিরগাও
Paschim Char Dukhia,পশ্চিম চর দুখিয়া
Paschim Char Umed,পশ্চিম চর উমেদ
Paschim Chhatnai,পশ্চিম ছাতনাই
Paschim Dhemsa,পশ্চিম ঢেমসা
Paschim Dighirpar,পশ্চিম দিঘীরপার
Paschim Fatehpur,পশ্চিম ফতেহপুর
Paschim Gauripur,পশ্চিম গৌরীপুর
Paschim Gomdandi,পশ্চিম গোমদন্ডি
Paschim Gupti,পশ্চিম গুপ্তি
Paschim Guzara,পশ্চিম গুজারা
Paschim Illisha,পশ্চিম ইলিশা
Paschim Jaflong,পশ্চিম জাফলং
Paschim Jorekaran,পশ্চিম জোরেকরণ
Paschim Juri,পশ্চিম জুড়ি
Paschim Lakshmip Rasad,পশ্চিম লক্ষ্মীপ রসদ
Paschim Nabinagar,পশ্চিম নবীনগর
Paschim Nabipur,পশ্চিম নবিপুর
Paschim Pagla,পশ্চিম পাগলা
Paschim Pailanpur,পশ্চিম পাইলানপুর
Paschim Panchgachhia,পশ্চিম পাঁচগাছিয়া
Paschim Purbadhair,পশ্চিম পূর্বধাইর
Paschim Rupasdi,পশ্চিম রূপাসদি
Paschim Sahadebpur,পশ্চিম সহদেবপুর
Paschim Saifullakandi,পশ্চিম সাইফুলকান্দি
Paschim Subidpur,পশ্চিম সুবিদপুর
Paschim Talsahar,তালশহর পশ্চিম
Paschim Ujan Char,পশ্চিম উজান চর
Pashapole,পাশাপোল
Pashuram,পশুরাম
Patabhog,পাতাভোগ
Patali,পাতালি
Patali Machhuakhali,পাটালী মাছুয়াখালী
Patanushar,পতানুশার
Patarir Hat,পাতারীর হাট
Patgati,পাটগতি
Patgram,পাটগ্রাম
Pathachhara,পথাছড়া
Pathair,পাথাইর
Pathakata,পাথাকাটা
Pathalia (part),পাথালিয়া (অংশ)
Pathannagar,পাঠাননগর
Pathardubi,পাথরডুবি
Patharghata,পাথরঘাটা
Pathari,পাথরি
Patharia,পাথারিয়া
Patharsi,পাথারসি
Pathrail,পাথরাইল
Patibila,পাতিবিলা
Patichara,পাতিছড়
Patika Para,পাটিকা পাড়া
Patiya Paurashava,পটিয়া পৌরসভা
Patkelghata,পাটকেলঘাটা
Patnitala,পটনিতলা
Patta,পাট্টা
Pattan,পত্তন
Pattashi,পত্তাশী
Patuabhanga,পটুয়াভাঙ্গা
Patuli,পাটুলি
Paurashava,পৌরসভা
Payari,পেয়ারি
Payra,পায়রা
Pearpur,পেয়ারপুর
Pekua,পেকুয়া
Perachhara,পেরাছড়া
Peria,পেরিয়া
Perikhali,পেরিখালি
Perkrishnapur Madna,পারকৃষ্ণপুর মদনা
Perul (Dakshin),পেরুল (দক্ষিন)
Perul (Uttar),পেরুল (উত্তর)
Peruli,পেরুলি
Philipnagar,ফিলিপনগর
Phulbari,ফুলবাড়ি
Phuljhury,ফুলজুরি
Phulpur,ফুলপুর
